datetime,Can Tho_Rainfall,Can Tho_Water Level,Chau Doc_Rainfall,Chau Doc_Water Level,Dai Ngai_Rainfall,Dai Ngai_Water Level,Chau Doc_WL_Change,Can Tho_WL_Change,Dai Ngai_WL_Change,month
2022-03-12 06:00:00,0.0,1.009,0.0,0.979,0.0,0.977,,,,3
2022-03-12 09:00:00,3.0,1.058,0.0,1.306,0.0,1.032,0.32700000000000007,0.049000000000000155,0.05500000000000005,3
2022-03-12 12:00:00,0.0,1.015,0.0,1.348,0.0,0.936,0.04200000000000004,-0.04300000000000015,-0.09599999999999997,3
2022-03-12 15:00:00,0.0,0.99,0.0,1.158,0.0,0.773,-0.19000000000000017,-0.02499999999999991,-0.16300000000000003,3
2022-03-12 18:00:00,0.0,0.596,0.0,1.068,0.0,0.184,-0.08999999999999986,-0.394,-0.589,3
2022-03-12 21:00:00,0.0,0.016,0.0,0.785,0.0,-0.575,-0.28300000000000003,-0.58,-0.7589999999999999,3
2022-03-13 00:00:00,0.0,-0.381,0.0,0.364,0.0,-0.092,-0.42100000000000004,-0.397,0.483,3
2022-03-13 03:00:00,0.0,0.571,0.0,-0.06,1.4,0.798,-0.424,0.952,0.89,3
2022-03-13 06:00:00,0.0,1.09,0.0,0.903,0.0,1.099,0.9630000000000001,0.5190000000000001,0.30099999999999993,3
2022-03-13 09:00:00,0.0,1.117,0.0,1.352,0.0,1.054,0.44900000000000007,0.026999999999999913,-0.04499999999999993,3
2022-03-13 12:00:00,0.0,1.037,0.0,1.38,0.0,0.817,0.027999999999999803,-0.08000000000000007,-0.2370000000000001,3
2022-03-13 15:00:00,0.0,0.868,0.0,1.223,0.0,0.758,-0.1569999999999998,-0.16899999999999993,-0.05899999999999994,3
2022-03-13 18:00:00,0.0,0.743,0.0,0.99,0.0,0.5,-0.2330000000000001,-0.125,-0.258,3
2022-03-13 21:00:00,0.0,0.257,0.0,0.882,0.0,-0.292,-0.10799999999999998,-0.486,-0.792,3
2022-03-14 00:00:00,0.0,-0.382,0.0,0.546,0.0,-0.794,-0.33599999999999997,-0.639,-0.502,3
2022-03-14 03:00:00,0.0,0.238,0.0,0.086,0.0,0.66,-0.4600000000000001,0.62,1.4540000000000002,3
2022-03-14 06:00:00,0.0,1.016,0.0,0.553,0.0,1.168,0.4670000000000001,0.778,0.5079999999999999,3
2022-03-14 09:00:00,0.0,1.111,0.0,1.252,0.0,1.141,0.699,0.09499999999999997,-0.026999999999999913,3
2022-03-14 12:00:00,0.0,0.886,0.0,1.345,0.0,0.545,0.09299999999999997,-0.22499999999999998,-0.596,3
2022-03-14 15:00:00,0.0,0.759,0.0,1.141,0.0,0.759,-0.20399999999999996,-0.127,0.21399999999999997,3
2022-03-14 18:00:00,0.0,0.823,0.0,0.818,0.0,0.705,-0.32300000000000006,0.06399999999999995,-0.05400000000000005,3
2022-03-14 21:00:00,0.0,0.499,0.0,0.887,0.0,-0.044,0.06900000000000006,-0.32399999999999995,-0.749,3
2022-03-15 00:00:00,0.0,-0.256,0.0,0.703,0.0,-1.055,-0.18400000000000005,-0.755,-1.011,3
2022-03-15 03:00:00,0.0,-0.164,0.0,0.185,0.0,0.465,-0.518,0.092,1.52,3
2022-03-15 06:00:00,0.0,0.959,0.0,0.096,0.0,1.24,-0.089,1.123,0.7749999999999999,3
2022-03-15 09:00:00,0.0,1.109,0.0,1.141,0.0,1.217,1.045,0.15000000000000002,-0.02299999999999991,3
2022-03-15 12:00:00,0.0,0.868,0.0,1.308,0.0,0.422,0.16700000000000004,-0.241,-0.7950000000000002,3
2022-03-15 15:00:00,0.0,0.666,0.0,1.139,0.0,0.925,-0.16900000000000004,-0.20199999999999996,0.5030000000000001,3
2022-03-15 18:00:00,0.0,0.941,0.0,0.711,0.0,0.973,-0.42800000000000005,0.2749999999999999,0.04799999999999993,3
2022-03-15 21:00:00,0.0,0.841,0.0,1.133,0.0,0.416,0.42200000000000004,-0.09999999999999998,-0.5569999999999999,3
2022-03-16 00:00:00,0.0,0.027,0.0,1.075,0.0,-0.788,-0.05800000000000005,-0.814,-1.204,3
